Rank,Word,Part of Speech,English Translation,Phrase,English Phrase,Frequency
1,le,"det, pro","the; him, her, it, them","vive la politique, vive l’amour","long live politics, long live love",89
2,de,"det, prep","of, from, some, any",il ne rêve que d’argent et de plaisirs,he only dreams of money and pleasure,88
3,un,"adj, det, nm, pro","a, an, one",je me suis cassé un ongle,I broke one of my fingernails,95
4,à,prep,"to, at, in",ils restent à l’école le plus longtemps possible,they remain at school as long as possible,93
5,être,"nm, v",to be; being,tout le monde veut être beau,everybody wants to be beautiful,91
6,et,conj,and,et les larmes se remirent à couler,and the tears started flowing again,93
7,en,"adv, prep, pro","in, by",je suis retournée en Espagne en septembre,I returned to Spain in September,94
8,avoir,"nm, v",to have,on était six donc tu peux pas avoir une conversation,there were six of us so you can’t have a conversation,89
9,que,"adv, conj, pro","that, which, who, whom",c’est un soldat. mais que fait-il ici?,it’s a soldier. but what’s he doing here?,88
10,pour,prep,"for, in order to",elle jouait pour gagner,she played to win,93
11,dans,prep,"in, into, from",je reviendrai dans dix minutes,I will return in 10 minutes,93
12,ce,"det, pro","this, that",je ne déteste pas cet homme,I do not detest this man,87
13,il,pro,"he, it",allez voir s’il est blessé,go see if he is injured,86
14,qui,pro,"who, whom",je ne sais pas à qui m’adresser,I don’t know who to talk to,89
15,ne,adv,not,nous ne faisons pas du très bon travail,we are not doing very good work,86
16,sur,"adj, prep","on, upon",t’avais une chance sur un million,you had one chance in a million,92
17,se,pro,"oneself, himself, herself, itself, themselves","avec ce traité, le Japon se rapproche des Etats-Unis","with this treaty, Japan brings itself closer to the U.S.",88
18,pas,"adv, nm(pl)","not, n’t; footstep","non, ne touchez pas!","no, don’t touch it!",83
19,plus,adv,"more, no more",il est considérablement plus jeune que moi,he’s considerably younger than I am,90
20,pouvoir,"nm, v","can, to be able to",tu peux jouer de la guitare électrique,you can play electric guitar,90
21,par,prep,by,il s’y trouvait par hasard,he found himself there by accident,87
22,je,pro,I,je suis contente de vous revoir,I am happy to see you again,73
23,avec,prep,with,vous voulez aller au ciné avec moi?,do you want to go to a movie with me?,91
24,tout,"adv, det, nadj, pro","all, very","comme vous voyez, tout est propre","as you see, everything is clean",86
25,faire,"nm, v","to do, make",qu’est-ce qu’il fait?,what’s he doing?,85
26,son,"det, nm","his, her, its; sound; bran",un ami ingénieur du son m’aide pour les arrangements,a sound engineer friend of mine helped me with the arrangements,81
27,mettre,v,"to put, place",je peux me mettre à votre table?,may I sit at your table?,96
28,autre,"det, nadj(f), pro",other,il y a un autre problème,there’s another problem,91
29,on,pro,"one, we",on tire et on pose les questions ensuite,we shoot first and ask questions later,80
30,mais,"adv, conj, intj",but,"je ne suis pas riche, mais je connais la vérité","I’m not rich, but I know the truth",83
31,nous,pro,"we, us",nous devons nous défendre nous-mêmes,we must defend ourselves,78
32,comme,"adv, conj","like, as","Tony et moi, on est comme des frères","Tony and I, we’re like brothers",87
33,ou,conj,or,il en reste du café ou pas?,is there some coffee left or not?,86
34,si,"adv, conj, nmi","if, whether","aujourd’hui, notre économie va si mal",today our economy is going so poorly,87
35,leur,"det, adj(f), pro","them, their, theirs",l’énergie solaire assurait leur survie,solar energy assured their survival,87
36,y,"adv, nmi, pro",there,c’est certain qu’on va y aller,it’s for certain that we’ll be going there,83
37,dire,"nm, v",to say,je décrochais le téléphone sans rien dire à personne,I picked up the telephone receiver without saying anything to anyone,77
38,elle,pro,"she, her",j’étais fou amoureux. elle m’aimait bien,I was head-over-heels in love. she loved me a lot,78
39,devoir,"nm, v","to have to, owe; duty",je dois travailler sans la moindre entrave,I must work without the least bit of hindrance,83
40,avant,"adji, adv, nm, prep",before,tu vas te pencher en avant,you’re going to lean forward,94
41,deux,"det, nmi",two,il prend le train deux fois par semaine pour affaires,he takes the train on business twice per week,87
42,même,"adj(f), adv, pro","same, even, self",ils ne s’excusent même pas,they don’t even excuse themselves,85
43,prendre,v,to take,elle lui prit la main,she took him by the hand,90
44,aussi,"adv, conj","too, also, as",je rêvais aussi de beaucoup voyager,I also dreamed of traveling a lot,88
45,celui,pro,"that, the one, he, him",tu es celui que je respecte le plus,you’re the one I respect the most,87
46,donner,v,to give,j’aurais donné ma vie pour lui,I would have given my life for him,90
47,bien,"adji, adv, nm",well,tout va bien maintenant,everything’s going well now,81
48,où,"adv, pro",where,on ne dit pas où il vit,they aren’t saying where he lives,87
49,fois,nf(pl),"time, times",lève la main une fois,raise your hand one time,92
50,vous,pro,you,"ici, vous avez une personnalité publique","here, you are a public personality",65
51,encore,adv,"again, yet",tu as encore menti à ta femme,you lied once again to your wife,89
52,nouveau,"adj, nm",new,il a construit une nouvelle vie ici,he made a new life for himself here,88
53,aller,"nm, v",to go,"tu devrais aller te coucher, tu as l’air vanné","you should go to bed, you look wiped out",73
54,cela,pro,"that, it",cela demande de l’intégrité et du courage,that requires integrity and courage,73
55,entre,prep,between,je marche entre les maisons,I’m walking between the houses,86
56,premier,"det, nadj",first,"est-elle la première épouse, la deuxième?","is she the first wife, the second one?",84
57,vouloir,"nm, v",to want,tu veux faire ton chemin. c’est bien,you want to continue on your way. that’s OK,79
58,déjà,adv,already,les rues étaient déjà pleines de monde,the streets were already full of people,93
59,grand,"adv, nadj","great, big, tall",tu es plus grand que je pensais,you’re taller than I thought,87
60,mon,det,my,t’aurais pu rencontrer mon copain,you could’ve met my buddy,70
61,me,pro,"me, to me, myself",reviens me voir dans cinq ou six ans,come back to see me in five or six years,65
62,moins,"adji(pl), adv, nm(pl), prep",less,il avait moins d’excuses encore que ses complices,he had even less excuses than his accomplices did,90
63,aucun,"det, adj, pro","none, either, neither, not any",trop d’argent et aucun goût,too much money and no taste,93
64,lui,pro,"him, her",mais j’ai confiance qu’en lui,but I have confidence in him,75
65,temps,nm(pl),time,"sur le plan spirituel, le temps n’existe pas","on the spiritual level, time does not exist",86
66,très,adv,very,"j’ai été bonne? très, très bonne","was I good? very, very good",82
67,savoir,"nm, v",to know,je ne savais plus quoi dire,I didn’t know what to say any more,78
68,falloir,v,"to take, require, need","il ne faut pas être raciste, point","there’s no need to be a racist, at all",84
69,voir,v,to see,je tenais seulement à te voir pour te dire … bonne chance,I just wanted to see you to say … good luck,78
70,quelque,"adv, adj, det",some,il restera pour quelques mois,he will stay for a few months,86
71,sans,prep,without,je fais plus jeune sans maquillage,I look younger without makeup,81
72,raison,nf,reason,"elle a raison, tu sais","she’s right, you know",92
73,notre,det,our,notre ville a le sens de la communauté,our city has a sense of community,78
74,dont,pro,"whose, of which",on a tout ce dont tu rêvais en ville,everything you dreamed about is available in town,86
75,non,"adv, nmi","no, not","non, je ne peux pas parler maintenant","no, I can’t talk now",81
76,an,nm,year,j’avais un an à la mort de mon père,I was one year old when my father died,82
77,monde,nm,"world, people",notre ultime but est de reconstruire le monde,our ultimate goal is to remake the world,87
78,jour,nm,day,"un jour, je retrouverais mes vrais parents","one day, I would find my real parents",86
79,monsieur,nm,"mister, sir, gentleman","comment allez-vous , monsieur?","how are you, sir?",67
80,demander,v,to ask for,j’ai un service à vous demander,I would like to ask you to do something for me,86
81,alors,adv,"then, so",et alors? vous revenez quand?,so? when are you coming back ?,84
82,après,"adv, prep",after,il a succombé à ses blessures peu après,he shortly thereafter succumbed to his wounds,83
83,trouver,v,to find,j’ai trouvé du sang. sur le siège avant,I found some blood. on the front seat,85
84,personne,"nf, pro","person, people, anybody, anyone, nobody",il ne parlait à personne en particulier,he was speaking to nobody in particular,84
85,rendre,v,"to render, return, yield, give up",je m’y rendis à 4 heures du matin,I went there at 4 o’clock in the morning,90
86,part,nf,share,je voudrais vous faire part de quelques données,I want to share some data with you,91
87,dernier,nadj,last,c’est le dernier endroit où vous auriez dû vous rencontrer,that’s the last place you should have met,83
88,venir,v,to come,venez rencontrer les autres,come meet the others,81
89,pendant,"adj, prep, nm",during; pendant,où t’étais pendant tout ce temps?,where were you all of this time?,91
90,passer,v,to pass,nous sommes passées devant la maison de ma grand-mère,we went past the front of my grandmother’s place,83
91,peu,adv,little,un secret se dévoile peu à peu,a secret unfolds little by little,81
92,lequel,pro,"who, whom, which",il y a bien des points sur lesquels je voudrais faire des commentaires,there are many points on which I would like to comment,87
93,suite,nf,"result, follow-up, rest","deux, trois et ainsi de suite","two, three, and so on",93
94,bon,"adj, adv, intj, nm",good,ce n’est pas le bon moment,it’s not a good time,81
95,comprendre,v,to understand,je comprends que vous soyez fâché,I understand that you’re upset,87
96,depuis,"adv, prep","since, for",je le connais depuis le lycée,I have known him since high school,83
97,point,"adv, nm",point; at all,je suis d’accord avec ce point de vue,I’m in agreement with that point of view,85
98,ainsi,adv,thus,qu’est-ce qui le pousse à agir ainsi?,what drives him to act that way?,86
99,heure,nf,hour,a quelle heure sont-ils partis?,at what time did they leave?,85
100,rester,v,to stay,"le temps qu’il te reste, trouve une solution","in the remaining time, find a solution",86
101,seul,adj,"alone, only",parler tout seul était signe d’aliénation,talking to oneself was a sign of loneliness,84
102,année,nf,year,il devait se présenter l’année suivante,he had to show up the next year,81
103,toujours,adv,always,tu es toujours en retard,you’re always late,81
104,tenir,v,to hold,c’est une porte de sécurité. tiens ça,it’s a security door. hold this,85
105,porter,"nm, v","to wear, carry",il a porté le maillot jaune un jour,he wore the yellow jersey one day,89
106,parler,"nm, v",to speak,je sais de quoi je parle,I know what I’m talking about,77
107,fort,"adv, adj, nm",strong,c’est une femme forte,she is a strong woman,90
108,montrer,v,to show,c’est une étrange façon de montrer votre reconnaissance,that’s a strange way to show your gratitude,92
109,là,"adv, intj","there, here",je n’étais pas passé par là,I hadn’t passed by there,73
110,certain,"adj, det, nm, pro","certain, sure",certains ont affirmé que le gouvernement était trop faible,some contend that the government was too weak,79
111,fin,"adj, adv, nf, nm",end; gist; clever person,la fin est importante en toutes choses,the ending is important in everything,85
112,tu,pro,you,"a ma place, tu ne le ferais pas","in my position, you would not do it",54
113,continuer,v,to continue,tu continues de m’impressionner,you continue to impress me,91
114,pays,nm(pl),country,ils vivent dans ce beau pays,they live in this beautiful country,74
115,trois,"det, nmi",three,les trois chasseurs étaient en pleine lumière,the three hunters were directly in the light,83
116,penser,"nm, v",to think,je pense que vous le connaissez bien,I think you know him very well,78
117,lieu,nm,place,je suis né dans un lieu public,I was born in a public place,89
118,partie,nf,part,il garde la majeure partie de cet argent,he’s keeping most of that money,85
119,quand,"adv, conj",when,tu aurais dû me tuer quand tu en as eu l’occasion,you should have killed me when you had the chance,75
120,suivre,v,to follow,"les autres, suivez-moi!","everybody else, follow me!",89
121,contre,"adv, nm, prep",against,"je vois, tu es en colère contre moi",I see you’re angry with me,78
122,sous,prep,under,juste sous ton nez,right under your nose,84
123,côté,nm,side,il s’arrête à côté du fauteuil,he stops beside the armchair,89
124,ensemble,"adv, nm",together,on n’a jamais été si bien ensemble,we’ve never gotten along so well together,90
125,chose,"adj(f), nf",thing,les choses pourraient bien changer à l’avenir,things could change in the future,75
126,enfant,"nm, nf, adj(f)",child,mes enfants sont en vie,my children are alive,85
127,cause,nf,cause,ces hallucinations ont une cause,these hallucinations have a cause,91
128,politique,nadj(f),politics; political,elle se spécialise en sciences politiques,her specialty is political science,77
129,place,nf,"room, space, square, place",je n’aimerais pas être à votre place,I wouldn’t want to be in your stead,87
130,seulement,adv,only,"on va seulement rester quelques jours, ma chérie","we’re only going to stay a few days, my dear",88
131,moi,"nm, pro",me,tu sors avec moi ce soir?,are you going out with me tonight?,63
132,vie,nf,life,je suis sûr qu’elle est en vie,I’m sure she’s alive,80
133,connaître,v,to know,je le connaissais depuis vingt ans,I had known him for twenty years,83
134,jusque,"adv, prep","to, up to, until",ils me poursuivirent jusque dans la rue,they followed me right into the street,85
135,croire,v,to believe,je n’arrive pas à y croire,I just can’t believe it,77
136,homme,nm,man,l’homme est plus important que l’État,man is more important than country,76
137,cas,nm(pl),case,"en tout cas, moi, je ne l’ai pas","in any case, I don’t have it",80
138,petit,nadj,"small, little",ce petit drogué n’a pas tort,this little drug addict isn’t wrong,76
139,commencer,v,"to begin, start",il est important que ces entretiens commencent immédiatement,it’s important that these meetings start immediately,88
140,compter,v,to count,je peux compter sur toi,I can count on you,89
141,fait,"adj, nm","done, fact","dans les faits, il a raison","factually, he is correct",80
142,tel,"adj, det, pro",such,je vais m’abstenir d’employer un tel langage,I’m going to refrain from using such language,84
143,droit,"adj, adv, nm",right,elle a le droit de tout savoir,she has the right to know everything,78
144,question,nf,question,je suis gêné de répondre à cette question,I’m embarrassed to answer this question,68
145,donc,conj,"so, then, therefore, thus",nous avons donc dû faire les calculs nous-mêmes,we had to do the calculations ourselves,74
146,quel,"det, adj, pro","which, what",quel livre cherchiez-vous?,which book are you looking for?,80
147,général,nadj,general,voici quelques conseils généraux,here are a few general pieces of advice,82
148,moment,nm,moment,arrête de parler pour un moment,stop talking for a moment,82
149,entendre,v,to hear,j’ai entendu la nouvelle,I heard the news,81
150,beaucoup,adv,"much, a lot of, many",il est en mesure de révéler beaucoup de choses,he’s in a position to reveal many things,78
151,chaque,"det, adj",each,chaque entreprise doit avoir sa propre organisation,every company must have its own organization,86
152,jeune,nadj(f),young,le gouvernement cherche à exploiter les jeunes,the government is trying to exploit young people,83
153,travail,nm,work,je ne prenais pas mon travail au sérieux,I wasn’t taking my work seriously,78
154,femme,nf,"woman, wife",je vous déclare maintenant mari et femme,I now declare you husband and wife,78
155,attendre,v,to wait,ma mère m’attend dans la grande salle,my mother awaits me in the large room,82
156,remettre,v,"to deliver, replace, set, put",on s’est remis à marcher,we resumed walking,93
157,appeler,v,to call,comment s’appelle-t-il?,what’s his name?,83
158,permettre,v,to allow,vous permettez que j’utilise votre téléphone?,would you allow me to use your telephone?,78
159,occuper,v,to occupy,sa main droite était occupée à tenir la petite valise,his right hand was busy holding the small suitcase,92
160,gouvernement,nm,government,le gouvernement a augmenté les impôts,the government increased taxes,58
161,eux,pro,them,c’est eux qui comptent,they are the ones who matter,87
162,devenir,"nm, v",to become,je suis très heureux que vous deveniez ma voisine,I’m very happy you’ve become my neighbor,82
163,partir,v,to leave,il est parti à présent,he is gone for the moment,83
164,plan,"adj, nm",plan,achetez donc un plan de la ville,so buy a map of the city,87
165,décider,v,to decide,j’ai décidé d’écrire un roman,I decided to write a novel,88
166,soit,"adv, conj",either…or,il a pas le choix: soit il est une star soit il est rien,he doesn’t have a choice: either he’s a star or he’s nothing,84
167,ici,adv,here,moi je reste ici,I’m going to stay here,77
