Rank,Kanji,Word,Part of Speech,English Translation,Phrase,English Phrase
1,の,no,p. case,of; in; at; for; by,彼はこの大学の学生だ。,He is a student at this university.
2,に,ni,p. case,at; on; in; to; for,私は大阪に住んでいます。,I live in Osaka.
3,は,wa,p.,TOPIC,好きなスポーツはテニスです。,My favorite sport is tennis.
4,た,ta,aux.,PAST,昨日、彼を見ましたか。,Did you see him yesterday?
5,を,o,p. case,ACCUSATIVE,彼は毎晩ビールを飲む。,He drinks beer every night.
6,だ,da,aux.,COPULA,僕は英語が苦手だ。,I’m not good at English.
7,が,ga,p. case,NOMINATIVE,こちらが私の妻です。,This is my wife.
8,て,te,p. conj.,REASON,お金がなくて、海外旅行できない。,I don’t have money so I can’t travel abroad.
9,と,to,p. case,and; or; with; if,彼とレストランへ行った。,I went to a restaurant with my boyfriend.
10,ます,masu,aux.,POLITE (after verb),来週京都へ行きます。,I will go to Kyoto next week.
11,も,mo,p.,"too, also",彼が行くなら、私も行きます。,"If he is going, I will go too."
12,で,de,p. case,in; at; from; by,東京駅で彼女に会った。,I met her at Tokyo station.
13,ている，てる,"te iru, teru",cp.,CONTINUATION,雨が降っている。,It’s raining.
14,です,desu,aux.,COPULA (polite),彼は独身です。,He is single.
15,れる,reru,aux.,PASSIVE,日本で使われている通貨は円です。,The currency used in Japan is yen.
16,"という, つう","to iu, to yuu, tsuu",cp.,"called, named",太郎という男の子を知っていますか。,Do you know a boy called Taro?
17,事,koto,n.,thing,今年はいろいろな事があった。,All kinds of things happened this year.
18,"えー, ええ",ee,interj.,"eh?, what?; well, yes",あの人は、えー、ちょっと名前が思い出せません。,"That man is ... , well I cannot remember his name."
19,言う,"iu, yuu",v.,"say, speak, talk",はっきり言うと、あなたの言っていることは無 意味です。,"Frankly speaking, you are talking nonsense."
20,のです，んです,"no desu, n desu",cp.,ASSERTION (polite),どうしたんですか。,What’s the matter?
21,あの，あのう，あのー,"ano, anoo",interj.,"Excuse me; uh, eh, um, ah, er",あの、ちょっとお聞きしたいんですが、バス乗 り場はどこですか。,"Excuse me, could you tell me where the bus stop is?"
22,する,suru,v.,do; make,仕事をしなければなりません。,I have to do my work.
23,まー，まあ,maa,interj.,"Wow!, Oh my God!",まー、なんて素晴らしいんでしょう。,Wow! That’s amazing!
24,の,no,p.,POSSESSIVE,彼が言ったのは本当だ。,What he said is true.
25,ある,aru,v.,"be (existence), have (possession), happen, occur",彼の報告書は問題がある。,His report has some problems.
26,ね,ne,p. disc.,"isn’t it?, don’t you?",いい天気ですね。,"It’s a nice day, isn’t it?"
27,ない,nai,aux.,not,彼は朝ごはんを食べない。,He doesn’t have breakfast.
28,なる,naru,v.,"become, get; come to do, start to do; turn into",彼は金持ちになるでしょう。,He will become rich.
29,か,ka,p. disc.,QUESTION,コーヒーか紅茶はいかがですか。,Would you like some coffee or tea?
30,その,sono,adn.,that,そのカバンを取ってくれませんか。,Can you pass me that bag?
31,けれど,keredo,conj.,"though, although",このアパートはあまり良くないけれど安い。,"This apartment is cheap, though it’s not so nice."
32,から,kara,p. case,from,ここからその店までは遠い。,The shop is a long way from here.
33,よう,you,aux.,INDUCEMENT,一緒にDVDを見よう。,Let’s watch a DVD together.
34,思う,omou,v.,"think, believe; feel; expect",私はそう思いません。,I don’t think so.
35,で,de,conj.,"so, then",で、あの話はどうなりましたか？,So what happened about the story you mentioned?
36,か,ka,p.,if; or,誰か来たようだ。,It seems that someone has come.
37,が,ga,p. conj.,ADVERSATIVE,いい天気だが、風が冷たい。,It’s a sunny day but the wind is chilly.
38,物,mono,n.,"thing, object, stuff",そんなに高い物は買えません。,I can’t buy such expensive stuff.
39,そう,sou,adv.,"so, such",私もそう思います。,I think so too.
40,何,nani,pron.,what; something; anything; nothing,何を考えているんですか？,What are you thinking?
41,と,to,p. conj.,"if, when; with",お酒を飲みすぎると、眠くなってし まう。,Drinking too much makes me sleepy.
42,私,"watashi, watakushi, atashi",pron.,I,私は寿司が好きです。,I like sushi.
43,てしまう,te shimau,cp.,end up doing ...,ダイエット中なのに、つい、甘いものを食べて しまう。,"I’m on a diet, but I can’t stop eating sweets."
44,それ,sore,pron.,that,それは明子さんのカバンですか。,Is that Akiko’s bag?
45,とか,to ka,p.,and; or,ケーキとかチョコレートばかり食べるから、 君は太るんだ。,"You gain weight, because you always eat cake and chocolate."
46,この,kono,adn.,this,この本をもう読みましたか。,Have you read this book?
47,無い,nai,i-adj.,"There is no ... , no ...",今、お金が無いんです。,I have no money now.
48,行く,"iku, yuku",v.,go; come,すぐ行きます。,I’m just coming.
49,のだ，んだ,"no da, n da",cp.,ASSERTION,彼女は何も知らないのだ。,She doesn’t know anything.
50,せる,seru,aux.,CAUSATIVE,子供にピアノを習わせたい。,I want my child to learn how to play the piano.
51,これ,kore,pron.,this,これをください。(レストランや店で）,I will take this. (in a restaurant or shop)
52,もう,moo,adv.,already; soon; again,もう寝ます。,I’ll go to bed soon.
53,である,de aru,cp.,COPULA (formal),これが実験の結果である。,These are the results of the experiment.
54,時,toki,n.,time,時が悲しみを癒してくれますよ。,Time will heal your sorrow.
55,な,na,p. disc.,PROHIBITION,動くな、手を挙げろ。,Don’t move! Get your hands up!
56,ず,zu,aux.,NEGATION,彼は何も言わずに去ってしまった。,He left without saying anything.
57,ので，んで,"no de, n de",p. conj.,"as, because, since",娘はまだ小さいので手がかかります。,"As my daughter is still very young, she needs to be looked after."
58,人,hito,n.,"person, people, human being",その歌手は若い人に人気がある。,That singer is popular among young people.
59,よ,yo,p. disc.,"ASSERTION, REMINDING (informal)",また来るよ。,I will come again.
60,こう,koo,adv.,"so, like this",粉と水を混ぜ、こうしてよくこねてください。,"Mix flour and water together, and knead the dough like this."
