Rank,Word,Part of Speech,English Translation,Phrase,English Phrase,Frequency
1,o,at,the (F a),eu fui o único filho que ingressou na faculdade,I was the only child to enroll in college.,100
2,de,prp,"of, from",José mostrou ser uma pessoa de mau carácter,José showed himself to be a person of bad character.,100
3,em,prp,"in, on",a cidade foi fundada em 573,The city was founded in 573.,100
4,e,cj,and,em 1902 ele é preso e mandado para a Sibéria,"In 1902, he was arrested and sent to Siberia.",100
5,que,cj,"that, than, what",o presidente anunciou que os Estados Unidos colocariam um satélite em órbita,The president announced that the United States would put a satellite into orbit.,100
6,ser,v,to be (norm),o sangue é o fluido responsável pela circulação dos nutrientes,Blood is the fluid responsible for the circulation of nutrients.,100
7,um,at,"a, one",o coração é um músculo,The heart is a muscle.,100
8,por,prp,"by, through, for",o comunismo foi professado por Marx e Engels,Communism was professed by Marx and Engels.,100
9,para,prp,"to, for, in order to",as informações são comprimidas para serem transmitidas,The information is com- pressed to be sent.,100
10,a,prp,"to, at",depois fomos a Belém ver as estátuas,"Afterwards, we went to Bethlehem to see the statues.",100
11,não,av,"no, not",não faça isso não,"No, do not do that.",100
12,com,prp,with,comeu pão com manteiga,He ate bread with butter.,100
13,ter,v,to have,o seu programa teve um enorme sucesso,His program had enormous success.,100
14,se,pn,reflexive pronoun,"o mulato não se vê como negro, no entanto é identificado como negro","Mulatos don’t see themselves as black; however, they are identified as black.",100
15,o,pn,"it, him, her, them, you (F a)","apesar da protecção do governo, ele sofreu um atentado que o matou","Despite the government’s protection, he was the victim of an assassination attempt which killed him.",100
16,seu,aj,"his, her(s), their(s), your(s)",a sua cara era pálida e os seus vestidos humildes,His face was pale and his clothing humble.,100
17,como,cj/av,"how, like, as",a mãe ainda se lembra como se faz?,"Mom, do you still remember how to do it?",100
18,estar,v,to be (change from norm),Hoje estou muito feliz com minha gravidez,Today I am very happy with my pregnancy.,100
19,mais,aj/av,"more, most",ele precisava de mais tempo para concluir a tarefa,He needed more time to complete the task.,100
20,mas,cj,but,Estas aves são más voadoras mas excelentes corredoras,These birds don’t fly well but they are excellent runners.,100
21,fazer,v,"to do, make",Os Aliados fizeram uma tentativa pouco convincente de ajudar os russos,The Allies made a very unconvincing attempt to help the Russians.,100
22,poder,v,"can, be able to",Os eclipses lunares podem ser totais ou parciais,Lunar eclipses can be total or partial.,100
23,este,aj,this,este meu relógio é incansável,This watch of mine never stops.,100
24,ou,cj,"or, either","se me reconhecerá ou não, isso se verá",We will see whether he will recognize me or not.,100
25,ele,pn,"he, it (him in BP)","todos olharam para o rapaz espantados. Ele, porém, continuou","Everyone looked at the young man in shock. He, however, continued on.",100
26,esse,aj,that,esse povo quase desapareceu,That group of people almost disappeared.,100
27,outro,aj,"other, another",você deveria entregar essa tarefa a outra pessoa,You should give this task to some other person.,100
28,muito,aj/av,"very, much, many",a dominação alemã não se prolongou por muito tempo,The German domination didn’t last very long.,100
29,haver,v,"“there is”, to have",em cada colmeia só pode haver uma única rainha,In each beehive there can only be one queen.,100
30,ir,v,to go,milhares de pessoas foram à praia para ver o golfinho,Thousands of people went to the beach to see the dolphin.,100
31,todo,aj,"all, every","esse tipo de templo influenciou todo o Oriente Médio, principalmente o Egipto","That type of temple influenced all of the Middle East, mainly Egypt.",100
32,eu,pn,I (OBJ = me),"digo-lhes que eu, pessoalmente, sou contra a interrupção da gravidez",I tell you that I am personally against abortion.,100
33,já,av,"already, now",o pior já passou,The worst is already over.,100
34,dizer,v,"to tell, say",Queres que te diga verdade?,Would you like me to tell the truth?,100
35,ano,nm,year,"por volta do ano 174 d.C., o povo dele se rebelou contra Roma","Around the year 174 AD, his people revolted against Rome.",100
36,dar,v,to give,"quando voltou, ele trouxe um boné e deu de presente para o amigo","When he returned, he brought a baseball cap and gave it as a present to his friend.",100
37,também,av,"also, too, as well",ele cobria o rosto com o lenço e também chorava!,He covered his face with the handkerchief and cried as well!,100
38,quando,cj/av,when,ele ficava levemente irritado quando era procurado por mendigos,He got a little irritated when he was approached by beggars.,100
39,mesmo,aj,same,a nova lei garante os mesmos direitos jurídicos e sociais aos casais homossexuais,The new law guarantees the same judicial and social rights to homosexual couples.,100
40,ver,v,to see,não vejo graça em nada,I don’t see the humor in anything.,100
41,até,prp,"until, even, up to",esta língua tem estado em declínio há vários séculos até recentemente,This language has been in decline for several centuries until recently.,100
42,dois,num,two,as células possuem dois meios de repro- dução: a mitose e a meiose,Cells have two methods of reproduction: mitosis and meiosis.,100
43,ainda,av,"still, yet",eles estavam ali por outro motivo que ela ainda não sabia,They were there with some other motive in mind which she still didn’t know about.,100
44,isso,pn,that (NEUT),em muitos casos fazer isso é impossível,"In many cases, doing that is impossible.",100
45,grande,aj,"big, grand, great",outros documentos de grande importância são os escritos dos jesuítas,Other documents of great importance include the writings of the Jesuits.,100
46,vez,nf,"(a) time, turn",ele pediu-lhe sete vezes que ela casasse com ele,He asked her seven times to marry him.,100
